Date,vitamin,1/4 MED,1 MED
2020-05-12,17,14,50
2020-05-13,17,14,50
2020-05-18,20,16,55
2020-05-29,23,17,61
2020-06-08,29,21,74
2020-06-09,32,25,80
2020-06-10,29,23,77
2020-06-13,31,25,80
2020-06-14,34,26,86
2020-06-25,29,23,77
2020-06-27,29,23,77
2020-06-28,32,25,80
2020-07-03,32,25,80
2020-07-05,32,25,81
2020-07-14,29,23,77
2020-07-17,27,21,74
2020-07-26,23,19,64
2020-07-28,27,21,72
2020-07-29,27,23,74
2020-07-30,27,23,76
2020-07-31,34,27,89
2020-08-02,26,21,72
2020-08-10,20,17,59
2020-08-11,20,17,56
2020-08-12,23,19,62
2020-08-13,21,17,62
2020-08-15,19,16,53
2020-08-16,20,17,61
2020-08-17,20,17,59
2020-08-18,20,17,61
2020-08-20,21,19,62
2020-08-21,17,14,49
2020-08-22,20,17,61
2020-08-23,16,14,47
2020-08-30,12,11,40
2020-09-05,14,11,44
2020-09-07,14,11,41
2020-09-10,11,10,35
2020-09-14,11,10,35
2020-09-18,11,8,34
2020-09-19,10,8,31
2020-09-20,10,8,31
2020-09-21,10,8,31
2020-09-23,11,10,36
2020-09-28,8,6,26
2020-09-29,8,8,26
2020-09-30,10,8,32
