Date,NI
2020-06-03,29
2020-06-04,13
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,12
2020-06-09,17
2020-06-10,44
2020-06-11,42
2020-06-12,32
2020-06-13,154
2020-06-14,208
2020-06-15,29
2020-06-16,210
2020-06-17,1
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,1
2020-06-22,6
2020-06-23,0
2020-06-24,0
2020-06-25,1
2020-06-26,0
2020-06-27,22
2020-06-28,13
2020-06-29,4
2020-06-30,0
2020-07-01,0
2020-07-02,7
2020-07-03,24
2020-07-04,12
2020-07-05,32
2020-07-06,22
2020-07-07,1
2020-07-08,15
2020-07-09,50
2020-07-10,21
2020-07-11,70
2020-07-12,147
2020-07-13,123
2020-07-14,154
2020-07-15,280
2020-07-16,275
2020-07-17,217
2020-07-18,137
2020-07-19,345
2020-07-20,23
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,6
2020-07-26,107
2020-07-27,111
2020-07-28,243
2020-07-29,199
2020-07-30,187
2020-07-31,277
2020-08-01,219
2020-08-02,158
2020-08-03,258
2020-08-04,269
2020-08-05,187
2020-08-06,363
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,50
2020-08-11,158
2020-08-12,320
2020-08-13,170
2020-08-14,81
2020-08-15,125
2020-08-16,200
2020-08-17,141
2020-08-18,172
2020-08-19,139
2020-08-20,243
2020-08-21,300
2020-08-22,509
2020-08-23,461
2020-08-24,376
2020-08-25,182
2020-08-26,187
2020-08-27,57
2020-08-28,108
2020-08-29,10
2020-08-30,49
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,2
2020-09-06,0
2020-09-07,1
2020-09-08,0
2020-09-09,1
2020-09-10,4
2020-09-11,3
2020-09-12,8
2020-09-13,22
2020-09-14,248
2020-09-15,23
2020-09-16,40
2020-09-17,87
2020-09-18,237
2020-09-19,164
2020-09-20,142
2020-09-21,124
2020-09-22,149
2020-09-23,113
2020-09-24,169
2020-09-25,27
2020-09-26,5
2020-09-27,25
2020-09-28,189

