Date,Ozone,RD,Delta
2020-05-12,284.50,10.0,1.0
2020-05-13,275.34,10.0,1.0
2020-05-14,267.91,10.0,1.0
2020-05-15,262.38,10.0,1.0
2020-05-16,254.66,10.0,1.0
2020-05-17,260.00,10.0,1.0
2020-05-18,238.75,10.0,1.0
2020-05-19,260.00,10.0,1.0
2020-05-23,261.22,10.0,1.0
2020-05-25,247.07,10.0,1.0
2020-05-26,260.00,10.0,1.0
2020-05-27,250.61,10.0,1.0
2020-05-28,260.47,10.0,1.0
2020-05-29,260.06,10.0,1.0
2020-05-31,294.31,10.0,1.0
2020-06-08,288.45,-18.0,1.0
2020-06-09,276.87,-15.0,1.0
2020-06-10,283.42,-18.0,1.0
2020-06-13,283.00,-25.0,1.0
2020-06-14,272.29,-25.0,1.0
2020-06-25,309.44,-10.0,1.0
2020-06-27,260.00,-8.0,1.0
2020-06-28,283.71,-17.0,1.0
2020-07-03,261.19,-15.0,1.0
2020-07-05,292.87,-15.0,1.0
2020-07-14,271.58,-25.0,1.0
2020-07-17,269.66,-25.0,1.0
2020-07-26,266.57,-25.0,1.0
2020-07-28,295.58,-25.0,1.0
2020-07-29,260.00,-25.0,1.0
2020-07-30,273.18,-25.0,1.0
2020-07-31,272.48,-26.0,1.0
2020-08-02,257.13,-10.0,1.0
2020-08-10,281.47,-20.0,1.0
2020-08-11,305.61,-20.0,1.0
2020-08-12,260.00,-15.0,1.0
2020-08-13,312.50,3.5,0.5
2020-08-15,331.32,10.0,1.0
2020-08-16,332.64,4.5,0.5
2020-08-17,329.75,1.5,0.5
2020-08-18,314.26,4.5,0.5
2020-08-20,284.20,-25.0,1.0
2020-08-21,260.00,-25.0,1.0
2020-08-22,282.15,-25.0,1.0
2020-08-23,260.00,-25.0,1.0
2020-08-30,260.00,-25.0,1.0
2020-09-05,332.84,14.0,1.0
2020-09-07,351.85,10.0,1.0
2020-09-10,296.34,5.5,0.5
2020-09-14,303.06,-12.0,1.0
2020-09-18,296.12,10.0,1.0
2020-09-19,309.49,-15.0,1.0
2020-09-20,318.17,-2.0,1.0
2020-09-21,304.40,-14.0,1.0
2020-09-23,296.51,-5.0,0.5
2020-09-28,285.84,4.0,0.5
2020-09-29,260.00,-15.0,1.0
2020-09-30,280.06,6.0,0.5
