Date,Ozone
2020-05-12,260.00
2020-05-13,260.00
2020-05-14,260.00
2020-05-15,260.00
2020-05-16,260.00
2020-05-17,260.00
2020-05-18,260.00
2020-05-19,260.00
2020-05-23,260.00
2020-05-25,260.00
2020-05-26,260.00
2020-05-27,260.00
2020-05-28,260.00
2020-05-29,260.00
2020-05-31,260.00
2020-06-08,260.00
2020-06-09,260.00
2020-06-10,260.00
2020-06-13,260.00
2020-06-14,260.00
2020-06-21,260.00
2020-06-25,260.00
2020-06-27,260.00
2020-06-28,260.00
2020-07-03,260.00
2020-07-05,260.00
2020-07-06,260.00
2020-07-11,260.00
2020-07-14,260.00
2020-07-17,260.00
2020-07-25,260.00
2020-07-26,260.00
2020-07-28,260.00
2020-07-29,260.00
2020-07-30,260.00
2020-07-31,260.00
2020-08-02,260.00
2020-08-10,260.00
2020-08-11,260.00
2020-08-12,260.00
2020-08-13,260.00
2020-08-15,260.00
2020-08-16,260.00
2020-08-17,260.00
2020-08-18,260.00
2020-08-20,260.00
2020-08-21,260.00
2020-08-22,260.00
2020-08-23,260.00
2020-08-30,260.00
2020-09-05,260.00
2020-09-07,260.00
2020-09-10,260.00
2020-09-14,260.00
2020-09-18,260.00
2020-09-19,260.00
2020-09-20,260.00
2020-09-21,260.00
2020-09-23,260.00
2020-09-28,260.00
2020-09-29,260.00
2020-09-30,260.00
