Hour,SZA,UVI,Vitamin D
11.0,28.862,9.572,0.4767
11.0167,28.657,9.622,0.4793
11.0333,28.451,9.672,0.4818
11.05,28.246,9.722,0.4844
11.0667,28.041,9.772,0.487
11.0833,27.836,9.821,0.4896
11.1,27.631,9.871,0.4921
11.1167,27.427,9.92,0.4946
11.1333,27.223,9.962,0.4968
11.15,27.018,10.02,0.4997
11.1667,26.814,10.07,0.5022
11.1833,26.61,10.11,0.5046
11.2,26.407,10.16,0.5067
11.2167,26.204,10.21,0.5096
11.2333,26.001,10.26,0.512
11.25,25.798,10.3,0.5144
11.2667,25.595,10.35,0.5168
11.2833,25.392,10.39,0.5192
11.3,25.19,10.44,0.5216
11.3167,24.988,10.49,0.524
11.3333,24.787,10.53,0.5264
11.35,24.585,10.58,0.5287
11.3667,24.384,10.63,0.531
11.3833,24.183,10.67,0.5333
11.4,23.983,10.71,0.5356
11.4167,23.782,10.76,0.5379
11.4333,23.582,10.8,0.5402
11.45,23.383,10.85,0.5424
11.4667,23.183,10.89,0.5447
11.4833,22.984,10.93,0.5469
11.5,22.786,10.98,0.5491
11.5167,22.587,11.01,0.5507
11.5333,22.389,11.06,0.5534
11.55,22.192,11.1,0.5556
11.5667,21.994,11.14,0.5577
11.5833,21.798,11.18,0.5598
11.6,21.602,11.22,0.5614
11.6167,21.406,11.26,0.5639
11.6333,21.21,11.31,0.566
11.65,21.015,11.35,0.5681
11.6667,20.82,11.39,0.5701
11.6833,20.626,11.42,0.5721
11.7,20.433,11.46,0.5741
11.7167,20.239,11.5,0.5759
11.7333,20.047,11.54,0.5777
11.75,19.854,11.58,0.5799
11.7667,19.663,11.61,0.5818
11.7833,19.472,11.65,0.5837
11.8,19.282,11.69,0.5855
11.8167,19.092,11.71,0.5867
11.8333,18.902,11.76,0.5892
11.85,18.714,11.79,0.591
11.8667,18.526,11.83,0.5928
11.8833,18.339,11.86,0.5946
11.9,18.152,11.9,0.5963
11.9167,17.966,11.93,0.598
11.9333,17.781,11.96,0.5997
11.95,17.597,12.0,0.6014
11.9667,17.414,12.03,0.603
11.9833,17.231,12.06,0.6047
12.0,17.049,12.09,0.606
12.0167,16.868,12.12,0.6079
12.0333,16.688,12.15,0.6095
12.05,16.51,12.18,0.611
12.0667,16.332,12.21,0.6123
12.0833,16.154,12.24,0.614
12.1,15.978,12.27,0.6155
12.1167,15.803,12.3,0.617
12.1333,15.629,12.33,0.6184
12.15,15.457,12.36,0.6198
12.1667,15.286,12.38,0.6212
12.1833,15.115,12.41,0.6226
12.2,14.946,12.44,0.6239
12.2167,14.779,12.46,0.6252
12.2333,14.612,12.49,0.6265
12.25,14.448,12.51,0.6278
12.2667,14.284,12.54,0.629
12.2833,14.122,12.56,0.6302
12.3,13.962,12.58,0.6314
12.3167,13.803,12.61,0.6326
12.3333,13.647,12.63,0.6338
12.35,13.491,12.64,0.6345
12.3667,13.338,12.67,0.636
12.3833,13.186,12.7,0.6371
12.4,13.037,12.72,0.6381
12.4167,12.889,12.73,0.6391
12.4333,12.744,12.75,0.64
12.45,12.6,12.77,0.6411
12.4667,12.459,12.79,0.6421
12.4833,12.32,12.81,0.643
12.5,12.183,12.83,0.6439
12.5167,12.05,12.84,0.6444
12.5333,11.918,12.86,0.6456
12.55,11.789,12.88,0.6464
12.5667,11.663,12.9,0.6473
12.5833,11.54,12.91,0.648
12.6,11.419,12.93,0.6488
12.6167,11.302,12.94,0.6495
12.6333,11.187,12.95,0.6502
12.65,11.076,12.97,0.6509
12.6667,10.968,12.98,0.6515
12.6833,10.864,12.99,0.6521
12.7,10.762,13.0,0.6527
12.7167,10.665,13.01,0.6533
12.7333,10.571,13.02,0.6538
12.75,10.481,13.04,0.6544
12.7667,10.395,13.04,0.6549
12.7833,10.313,13.05,0.6553
12.8,10.235,13.06,0.6558
12.8167,10.161,13.07,0.6562
12.8333,10.091,13.08,0.6566
12.85,10.025,13.09,0.6569
12.8667,9.964,13.09,0.6573
12.8833,9.908,13.1,0.6576
12.9,9.856,13.1,0.6578
12.9167,9.809,13.11,0.6581
12.9333,9.766,13.11,0.6583
12.95,9.729,13.12,0.6585
12.9667,9.696,13.12,0.6587
12.9833,9.668,13.12,0.6588
13.0,9.645,13.13,0.659
13.0167,9.627,13.13,0.6591
13.0333,9.614,13.13,0.6591
13.05,9.605,13.13,0.6592
13.0667,9.602,13.13,0.6592
13.0833,9.605,13.13,0.6592
13.1,9.612,13.13,0.6591
13.1167,9.624,13.13,0.6591
13.1333,9.641,13.13,0.659
13.15,9.663,13.12,0.6589
13.1667,9.69,13.12,0.6587
13.1833,9.722,13.12,0.6586
13.2,9.758,13.11,0.6584
13.2167,9.8,13.11,0.6581
13.2333,9.846,13.1,0.6579
13.25,9.897,13.1,0.6576
13.2667,9.953,13.09,0.6573
13.2833,10.013,13.09,0.657
13.3,10.077,13.08,0.6566
13.3167,10.146,13.07,0.6563
13.3333,10.219,13.06,0.6558
13.35,10.296,13.06,0.6554
13.3667,10.378,13.05,0.655
13.3833,10.463,13.04,0.6545
13.4,10.552,13.03,0.654
13.4167,10.646,13.02,0.6534
13.4333,10.742,13.01,0.6529
13.45,10.843,12.99,0.6523
13.4667,10.946,12.98,0.6517
13.4833,11.054,12.97,0.651
13.5,11.164,12.96,0.6503
13.5167,11.278,12.94,0.6496
13.5333,11.395,12.93,0.6489
13.55,11.515,12.91,0.6482
13.5667,11.637,12.9,0.6474
13.5833,11.763,12.88,0.6466
13.6,11.891,12.87,0.6458
13.6167,12.022,12.85,0.6447
13.6333,12.156,12.83,0.6439
13.65,12.292,12.82,0.6432
13.6667,12.43,12.8,0.6423
13.6833,12.571,12.78,0.6413
13.7,12.714,12.76,0.6403
13.7167,12.859,12.73,0.6392
13.7333,13.006,12.72,0.6383
13.75,13.155,12.7,0.6373
13.7667,13.307,12.68,0.6362
13.7833,13.46,12.65,0.6346
13.8,13.615,12.64,0.634
13.8167,13.771,12.61,0.6328
13.8333,13.929,12.59,0.6317
13.85,14.089,12.57,0.6305
13.8667,14.251,12.54,0.6293
13.8833,14.414,12.52,0.628
13.9,14.579,12.49,0.6268
13.9167,14.745,12.47,0.6255
13.9333,14.912,12.44,0.6242
13.95,15.081,12.42,0.6228
13.9667,15.251,12.39,0.6215
13.9833,15.422,12.36,0.6201
14.0,15.594,12.33,0.6187
14.0167,15.768,12.31,0.6173
14.0333,15.942,12.28,0.6158
14.05,16.118,12.25,0.6143
14.0667,16.295,12.22,0.6128
14.0833,16.473,12.19,0.6112
14.1,16.652,12.16,0.6098
14.1167,16.832,12.13,0.6082
14.1333,17.012,12.09,0.606
14.15,17.194,12.07,0.605
14.1667,17.376,12.04,0.6034
14.1833,17.56,12.0,0.6017
14.2,17.744,11.97,0.6001
14.2167,17.929,11.94,0.5984
14.2333,18.114,11.9,0.5967
14.25,18.301,11.87,0.5949
