Hour,SZA,UVI,Vitamin D
11.0,58.886,2.588,0.1083
11.0167,58.772,2.608,0.1093
11.0333,58.657,2.629,0.1104
11.05,58.543,2.65,0.1114
11.0667,58.43,2.67,0.1125
11.0833,58.318,2.691,0.1135
11.1,58.206,2.712,0.1146
11.1167,58.096,2.732,0.1156
11.1333,57.986,2.752,0.1167
11.15,57.877,2.773,0.1177
11.1667,57.768,2.793,0.1187
11.1833,57.661,2.813,0.1198
11.2,57.554,2.833,0.1208
11.2167,57.449,2.853,0.1218
11.2333,57.343,2.873,0.1228
11.25,57.239,2.893,0.1239
11.2667,57.135,2.912,0.1249
11.2833,57.032,2.932,0.1259
11.3,56.931,2.952,0.1269
11.3167,56.83,2.971,0.1279
11.3333,56.729,2.99,0.1289
11.35,56.629,3.01,0.1299
11.3667,56.531,3.029,0.1309
11.3833,56.433,3.048,0.1319
11.4,56.336,3.067,0.1328
11.4167,56.24,3.086,0.1338
11.4333,56.145,3.104,0.1348
11.45,56.05,3.123,0.1357
11.4667,55.956,3.142,0.1367
11.4833,55.864,3.16,0.1376
11.5,55.772,3.178,0.1386
11.5167,55.681,3.196,0.1395
11.5333,55.591,3.214,0.1405
11.55,55.502,3.232,0.1414
11.5667,55.413,3.25,0.1423
11.5833,55.327,3.268,0.1432
11.6,55.24,3.285,0.1441
11.6167,55.154,3.302,0.145
11.6333,55.069,3.32,0.1459
11.65,54.985,3.337,0.1468
11.6667,54.902,3.354,0.1477
11.6833,54.821,3.37,0.1485
11.7,54.74,3.387,0.1494
11.7167,54.659,3.403,0.1503
11.7333,54.58,3.42,0.1511
11.75,54.501,3.436,0.152
11.7667,54.425,3.452,0.1528
11.7833,54.348,3.468,0.1536
11.8,54.273,3.483,0.1544
11.8167,54.198,3.499,0.1552
11.8333,54.124,3.514,0.156
11.85,54.051,3.529,0.1568
11.8667,53.98,3.544,0.1576
11.8833,53.91,3.559,0.1584
11.9,53.84,3.574,0.1591
11.9167,53.771,3.588,0.1599
11.9333,53.703,3.602,0.1606
11.95,53.636,3.617,0.1614
11.9667,53.571,3.631,0.1621
11.9833,53.506,3.644,0.1628
12.0,53.442,3.657,0.1635
12.0167,53.379,3.671,0.1642
12.0333,53.316,3.684,0.1649
12.05,53.256,3.697,0.1656
12.0667,53.196,3.71,0.1662
12.0833,53.137,3.723,0.1669
12.1,53.079,3.735,0.1676
12.1167,53.022,3.747,0.1682
12.1333,52.966,3.758,0.1687
12.15,52.912,3.771,0.1694
12.1667,52.858,3.782,0.17
12.1833,52.805,3.794,0.1706
12.2,52.753,3.805,0.1712
12.2167,52.703,3.816,0.1718
12.2333,52.653,3.827,0.1724
12.25,52.605,3.836,0.1728
12.2667,52.557,3.848,0.1735
12.2833,52.51,3.857,0.1739
12.3,52.465,3.868,0.1745
12.3167,52.42,3.877,0.175
12.3333,52.377,3.887,0.1755
12.35,52.335,3.896,0.176
12.3667,52.293,3.905,0.1764
12.3833,52.253,3.914,0.1769
12.4,52.214,3.923,0.1774
12.4167,52.175,3.931,0.1778
12.4333,52.139,3.938,0.1781
