Hour,SZA,UVI,Vitamin D
11.0,61.221,1.929,0.07998
11.0167,61.1,1.947,0.08087
11.0333,60.981,1.964,0.08176
11.05,60.862,1.982,0.08264
11.0667,60.744,2.0,0.08353
11.0833,60.626,2.017,0.08442
11.1,60.509,2.035,0.0853
11.1167,60.392,2.053,0.08619
11.1333,60.277,2.07,0.08708
11.15,60.162,2.088,0.08796
11.1667,60.048,2.105,0.08884
11.1833,59.935,2.123,0.08973
11.2,59.823,2.14,0.09061
11.2167,59.71,2.158,0.09149
11.2333,59.599,2.175,0.09237
11.25,59.489,2.193,0.09325
11.2667,59.38,2.21,0.09413
11.2833,59.271,2.227,0.095
11.3,59.162,2.245,0.09588
11.3167,59.055,2.262,0.09675
11.3333,58.949,2.279,0.09762
11.35,58.843,2.296,0.09849
11.3667,58.738,2.313,0.09935
11.3833,58.634,2.33,0.1002
11.4,58.53,2.347,0.1011
11.4167,58.427,2.364,0.1019
11.4333,58.326,2.381,0.1028
11.45,58.225,2.397,0.1036
11.4667,58.125,2.414,0.1045
11.4833,58.025,2.431,0.1053
11.5,57.926,2.447,0.1062
11.5167,57.828,2.464,0.107
11.5333,57.731,2.48,0.1079
11.55,57.635,2.496,0.1087
11.5667,57.54,2.512,0.1095
11.5833,57.445,2.528,0.1103
11.6,57.352,2.544,0.1112
11.6167,57.259,2.56,0.112
11.6333,57.167,2.576,0.1128
11.65,57.076,2.592,0.1136
11.6667,56.986,2.607,0.1144
11.6833,56.896,2.623,0.1152
11.7,56.807,2.639,0.116
11.7167,56.72,2.654,0.1168
11.7333,56.633,2.669,0.1175
11.75,56.547,2.684,0.1183
11.7667,56.462,2.699,0.1191
11.7833,56.377,2.714,0.1199
11.8,56.294,2.729,0.1206
11.8167,56.212,2.743,0.1214
11.8333,56.131,2.758,0.1221
11.85,56.05,2.772,0.1229
11.8667,55.97,2.787,0.1236
11.8833,55.891,2.801,0.1243
11.9,55.813,2.815,0.1251
11.9167,55.736,2.829,0.1258
11.9333,55.66,2.843,0.1265
11.95,55.585,2.856,0.1272
11.9667,55.511,2.87,0.1279
11.9833,55.437,2.883,0.1286
12.0,55.365,2.896,0.1293
12.0167,55.294,2.909,0.1299
12.0333,55.224,2.922,0.1306
12.05,55.153,2.935,0.1313
12.0667,55.085,2.948,0.1319
12.0833,55.017,2.96,0.1326
12.1,54.951,2.973,0.1332
12.1167,54.885,2.985,0.1338
12.1333,54.821,2.997,0.1345
12.15,54.756,3.009,0.1351
12.1667,54.693,3.021,0.1357
12.1833,54.632,3.032,0.1363
12.2,54.571,3.043,0.1369
12.2167,54.511,3.055,0.1375
12.2333,54.452,3.066,0.138
12.25,54.394,3.077,0.1386
12.2667,54.337,3.087,0.1392
12.2833,54.281,3.098,0.1397
12.3,54.226,3.108,0.1402
12.3167,54.172,3.119,0.1408
12.3333,54.119,3.129,0.1413
12.35,54.067,3.139,0.1418
12.3667,54.016,3.148,0.1423
12.3833,53.966,3.158,0.1428
12.4,53.917,3.167,0.1433
12.4167,53.869,3.176,0.1438
12.4333,53.822,3.185,0.1442
12.45,53.776,3.194,0.1447
12.4667,53.731,3.203,0.1451
12.4833,53.688,3.211,0.1456
12.5,53.645,3.219,0.146
12.5167,53.602,3.228,0.1464
12.5333,53.562,3.235,0.1468
12.55,53.522,3.243,0.1472
12.5667,53.484,3.25,0.1476
12.5833,53.446,3.258,0.148
12.6,53.41,3.265,0.1484
12.6167,53.373,3.272,0.1487
12.6333,53.339,3.278,0.149
12.65,53.306,3.285,0.1494
12.6667,53.273,3.291,0.1497
12.6833,53.242,3.297,0.1501
12.7,53.212,3.303,0.1503
12.7167,53.182,3.309,0.1507
12.7333,53.154,3.315,0.1509
12.75,53.127,3.32,0.1512
12.7667,53.101,3.324,0.1514
12.7833,53.076,3.33,0.1517
12.8,53.051,3.335,0.152
12.8167,53.029,3.339,0.1522
12.8333,53.007,3.343,0.1524
12.85,52.986,3.347,0.1527
12.8667,52.967,3.351,0.1528
12.8833,52.948,3.355,0.153
12.9,52.93,3.358,0.1532
12.9167,52.914,3.362,0.1534
12.9333,52.899,3.364,0.1535
12.95,52.884,3.367,0.1537
12.9667,52.871,3.369,0.1538
12.9833,52.859,3.372,0.1539
13.0,52.847,3.375,0.1541
13.0167,52.838,3.377,0.1542
13.0333,52.829,3.378,0.1543
13.05,52.821,3.38,0.1543
13.0667,52.814,3.381,0.1544
13.0833,52.808,3.383,0.1545
13.1,52.804,3.383,0.1545
13.1167,52.8,3.384,0.1546
13.1333,52.798,3.385,0.1546
13.15,52.797,3.385,0.1546
13.1667,52.796,3.385,0.1546
13.1833,52.797,3.385,0.1546
13.2,52.799,3.384,0.1546
13.2167,52.802,3.384,0.1545
13.2333,52.806,3.383,0.1545
13.25,52.811,3.382,0.1544
13.2667,52.817,3.381,0.1544
13.2833,52.824,3.379,0.1543
13.3,52.832,3.378,0.1542
13.3167,52.842,3.376,0.1541
13.3333,52.853,3.374,0.154
13.35,52.864,3.371,0.1539
13.3667,52.876,3.369,0.1538
13.3833,52.89,3.366,0.1536
13.4,52.905,3.363,0.1535
13.4167,52.921,3.36,0.1533
13.4333,52.938,3.356,0.1531
13.45,52.956,3.353,0.153
13.4667,52.975,3.35,0.1528
13.4833,52.995,3.346,0.1526
13.5,53.017,3.342,0.1523
13.5167,53.039,3.337,0.1521
13.5333,53.062,3.333,0.1519
13.55,53.086,3.328,0.1516
13.5667,53.112,3.323,0.1514
13.5833,53.139,3.317,0.1511
