Hour,Data
7.0,1.355e-08
7.0833,7.668e-06
7.1667,8.434e-05
7.25,0.0004021
7.3333,0.001279
7.4167,0.003299
7.5,0.007195
7.5833,0.01317
7.6667,0.02213
7.75,0.03322
7.8333,0.04687
7.9167,0.06297
8.0,0.0816
8.0833,0.1029
8.1667,0.1268
8.25,0.1537
8.3333,0.1836
8.4167,0.2167
8.5,0.2531
8.5833,0.293
8.6667,0.3365
8.75,0.3838
8.8333,0.4348
8.9167,0.4899
9.0,0.5489
9.0833,0.612
9.1667,0.6792
9.25,0.7505
9.3333,0.826
9.4167,0.9054
9.5,0.9889
9.5833,1.076
9.6667,1.168
9.75,1.263
9.8333,1.361
9.9167,1.463
10.0,1.568
10.0833,1.676
10.1667,1.787
10.25,1.9
10.3333,2.016
10.4167,2.133
10.5,2.252
10.5833,2.372
10.6667,2.493
10.75,2.615
10.8333,2.737
10.9167,2.859
11.0,2.98
11.0833,3.1
11.1667,3.219
11.25,3.337
11.3333,3.453
11.4167,3.566
11.5,3.677
11.5833,3.784
11.6667,3.888
11.75,3.988
11.8333,4.084
11.9167,4.173
12.0,4.263
12.0833,4.345
12.1667,4.422
12.25,4.493
12.3333,4.558
12.4167,4.616
12.5,4.67
12.5833,4.717
12.6667,4.757
12.75,4.791
12.8333,4.817
12.9167,4.835
13.0,4.85
13.0833,4.855
13.1667,4.854
13.25,4.845
13.3333,4.83
13.4167,4.808
13.5,4.779
13.5833,4.743
13.6667,4.7
13.75,4.651
13.8333,4.596
13.9167,4.534
14.0,4.466
14.0833,4.39
14.1667,4.314
14.25,4.23
14.3333,4.142
14.4167,4.048
14.5,3.95
14.5833,3.849
14.6667,3.743
14.75,3.634
14.8333,3.523
14.9167,3.408
15.0,3.292
15.0833,3.174
15.1667,3.054
15.25,2.934
15.3333,2.812
15.4167,2.69
15.5,2.568
15.5833,2.447
15.6667,2.326
15.75,2.206
15.8333,2.088
15.9167,1.971
16.0,1.857
16.0833,1.744
16.1667,1.634
16.25,1.528
16.3333,1.424
16.4167,1.323
16.5,1.226
16.5833,1.132
16.6667,1.043
16.75,0.9567
16.8333,0.8747
16.9167,0.7967
17.0,0.7229
17.0833,0.6531
17.1667,0.5875
17.25,0.526
17.3333,0.4685
17.4167,0.415
17.5,0.3654
17.5833,0.3196
17.6667,0.2775
17.75,0.2389
17.8333,0.2038
17.9167,0.1719
18.0,0.1432
18.0833,0.1175
18.1667,0.09453
18.25,0.07428
18.3333,0.05661
18.4167,0.04143
18.5,0.02873
18.5833,0.01845
18.6667,0.01057
18.75,0.005425
18.8333,0.002385
18.9167,0.000851
