Hour,SZA,UVI,Vitamin D
11.0,46.351,4.16,0.1899
11.0167,46.206,4.188,0.1914
11.0333,46.063,4.216,0.1929
11.05,45.922,4.244,0.1943
11.0667,45.78,4.272,0.1958
11.0833,45.64,4.3,0.1973
11.1,45.501,4.328,0.1987
11.1167,45.36,4.355,0.2002
11.1333,45.222,4.383,0.2016
11.15,45.085,4.41,0.203
11.1667,44.949,4.437,0.2045
11.1833,44.813,4.464,0.2059
11.2,44.679,4.491,0.2073
11.2167,44.543,4.519,0.2087
11.2333,44.41,4.545,0.2101
11.25,44.278,4.572,0.2115
11.2667,44.147,4.598,0.2129
11.2833,44.017,4.625,0.2143
11.3,43.886,4.651,0.2157
11.3167,43.757,4.677,0.217
11.3333,43.629,4.703,0.2184
11.35,43.503,4.728,0.2197
11.3667,43.377,4.754,0.2211
11.3833,43.252,4.777,0.2222
11.4,43.126,4.805,0.2237
11.4167,43.003,4.831,0.2251
11.4333,42.881,4.855,0.2264
11.45,42.76,4.88,0.2277
11.4667,42.639,4.905,0.229
11.4833,42.52,4.929,0.2302
11.5,42.4,4.953,0.2315
11.5167,42.283,4.978,0.2328
11.5333,42.167,5.002,0.2341
11.55,42.051,5.025,0.2353
11.5667,41.937,5.049,0.2365
11.5833,41.822,5.072,0.2378
11.6,41.71,5.096,0.239
11.6167,41.599,5.119,0.2402
11.6333,41.489,5.142,0.2414
11.65,41.38,5.164,0.2426
11.6667,41.272,5.187,0.2438
11.6833,41.163,5.209,0.2449
11.7,41.057,5.231,0.2461
11.7167,40.952,5.253,0.2472
11.7333,40.849,5.274,0.2484
11.75,40.746,5.296,0.2495
11.7667,40.643,5.316,0.2506
11.7833,40.543,5.338,0.2517
11.8,40.444,5.359,0.2528
11.8167,40.346,5.378,0.2538
11.8333,40.249,5.399,0.2549
11.85,40.153,5.419,0.256
11.8667,40.057,5.439,0.257
11.8833,39.963,5.459,0.2581
11.9,39.871,5.478,0.2591
11.9167,39.78,5.497,0.2601
11.9333,39.69,5.516,0.2611
11.95,39.602,5.534,0.262
11.9667,39.513,5.553,0.263
11.9833,39.426,5.571,0.264
12.0,39.341,5.589,0.2649
12.0167,39.258,5.606,0.2658
12.0333,39.175,5.623,0.2667
12.05,39.093,5.641,0.2676
12.0667,39.013,5.654,0.2684
12.0833,38.934,5.674,0.2694
12.1,38.857,5.689,0.2702
12.1167,38.78,5.706,0.2711
12.1333,38.706,5.722,0.2719
12.15,38.631,5.737,0.2727
12.1667,38.558,5.75,0.2734
12.1833,38.488,5.766,0.2743
12.2,38.418,5.782,0.2751
12.2167,38.35,5.796,0.2758
12.2333,38.283,5.81,0.2766
12.25,38.216,5.824,0.2773
12.2667,38.152,5.838,0.278
12.2833,38.089,5.851,0.2787
12.3,38.028,5.864,0.2794
12.3167,37.968,5.876,0.2801
12.3333,37.907,5.889,0.2807
12.35,37.85,5.901,0.2814
12.3667,37.794,5.913,0.282
12.3833,37.74,5.924,0.2826
12.4,37.687,5.935,0.2832
12.4167,37.635,5.946,0.2837
12.4333,37.583,5.957,0.2843
12.45,37.534,5.967,0.2848
12.4667,37.487,5.977,0.2854
12.4833,37.441,5.987,0.2859
12.5,37.397,5.996,0.2864
12.5167,37.352,6.004,0.2867
12.5333,37.31,6.014,0.2873
12.55,37.27,6.023,0.2878
12.5667,37.232,6.03,0.2881
12.5833,37.194,6.038,0.2885
12.6,37.159,6.046,0.289
12.6167,37.123,6.054,0.2894
12.6333,37.09,6.061,0.2897
12.65,37.059,6.067,0.2901
12.6667,37.029,6.073,0.2904
12.6833,37.001,6.079,0.2907
12.7,36.974,6.085,0.291
12.7167,36.947,6.091,0.2913
12.7333,36.923,6.096,0.2916
12.75,36.901,6.1,0.2918
12.7667,36.88,6.105,0.2921
