Hour,Data
6.0,0.0
6.0833,0.0
6.1667,0.0
6.25,0.0
6.3333,2.251e-18
6.4167,1.063e-09
6.5,4.41e-07
6.5833,5.911e-06
6.6667,2.279e-05
6.75,6.191e-05
6.8333,0.00013
6.9167,0.000235
7.0,0.0003822
7.0833,0.0005656
7.1667,0.0008025
7.25,0.001102
7.3333,0.001478
7.4167,0.001948
7.5,0.002531
7.5833,0.003248
7.6667,0.00412
7.75,0.00517
7.8333,0.006417
7.9167,0.007882
8.0,0.009587
8.0833,0.01155
8.1667,0.01379
8.25,0.01631
8.3333,0.01915
8.4167,0.0223
8.5,0.02578
8.5833,0.02961
8.6667,0.03377
8.75,0.03829
8.8333,0.04317
8.9167,0.0484
9.0,0.05399
9.0833,0.05993
9.1667,0.06621
9.25,0.07284
9.3333,0.07979
9.4167,0.08704
9.5,0.09461
9.5833,0.1025
9.6667,0.1106
9.75,0.119
9.8333,0.1276
9.9167,0.1364
10.0,0.1454
10.0833,0.1545
10.1667,0.1638
10.25,0.1732
10.3333,0.1827
10.4167,0.1923
10.5,0.2019
10.5833,0.2115
10.6667,0.2211
10.75,0.2306
10.8333,0.2398
10.9167,0.2492
11.0,0.2586
11.0833,0.2676
11.1667,0.2765
11.25,0.2851
11.3333,0.2936
11.4167,0.3017
11.5,0.3096
11.5833,0.3172
11.6667,0.3244
11.75,0.3313
11.8333,0.3378
11.9167,0.3439
12.0,0.3497
12.0833,0.355
12.1667,0.3598
12.25,0.3642
12.3333,0.3681
12.4167,0.3716
12.5,0.3746
12.5833,0.3771
12.6667,0.3791
12.75,0.3806
12.8333,0.3815
12.9167,0.382
13.0,0.3819
13.0833,0.3813
13.1667,0.3802
13.25,0.3786
13.3333,0.3764
13.4167,0.3739
13.5,0.3708
13.5833,0.367
13.6667,0.3631
13.75,0.3586
13.8333,0.3536
13.9167,0.3482
14.0,0.3424
14.0833,0.336
14.1667,0.3295
14.25,0.3225
14.3333,0.3152
14.4167,0.3076
14.5,0.2996
14.5833,0.2914
14.6667,0.2829
14.75,0.2739
14.8333,0.2653
14.9167,0.2562
15.0,0.2469
15.0833,0.2375
15.1667,0.2281
15.25,0.2186
15.3333,0.209
15.4167,0.1994
15.5,0.1898
15.5833,0.1802
15.6667,0.1708
15.75,0.1614
15.8333,0.1521
15.9167,0.143
16.0,0.1341
16.0833,0.1253
16.1667,0.1168
16.25,0.1085
16.3333,0.1004
16.4167,0.09264
16.5,0.08516
16.5833,0.07798
16.6667,0.07111
16.75,0.06458
16.8333,0.05839
16.9167,0.05254
17.0,0.04705
17.0833,0.04191
17.1667,0.03712
17.25,0.03269
17.3333,0.02862
17.4167,0.02488
17.5,0.02149
17.5833,0.01842
17.6667,0.01566
17.75,0.01321
17.8333,0.01104
17.9167,0.009146
18.0,0.007503
18.0833,0.006094
18.1667,0.004898
18.25,0.003894
18.3333,0.003062
18.4167,0.00238
18.5,0.001826
18.5833,0.001381
18.6667,0.001025
18.75,0.0007417
18.8333,0.0005179
18.9167,0.0003385
19.0,0.0002067
19.0833,0.0001114
19.1667,5.041e-05
19.25,1.734e-05
19.3333,3.931e-06
19.4167,1.493e-07
19.5,1.347e-10
19.5833,1.605e-23
19.6667,0.0
19.75,0.0
19.8333,0.0
19.9167,0.0
