Hour,Data
6.0,0.0
6.0833,1.557e-25
6.1667,6.749e-11
6.25,1.066e-07
6.3333,3.382e-06
6.4167,1.508e-05
6.5,4.435e-05
6.5833,9.951e-05
6.6667,0.0001874
6.75,0.0003071
6.8333,0.0004759
6.9167,0.0006866
7.0,0.0009543
7.0833,0.001291
7.1667,0.001712
7.25,0.002236
7.3333,0.00288
7.4167,0.003666
7.5,0.004613
7.5833,0.005742
7.6667,0.007072
7.75,0.008623
7.8333,0.01041
7.9167,0.01246
8.0,0.01477
8.0833,0.01738
8.1667,0.02029
8.25,0.02351
8.3333,0.02706
8.4167,0.03094
8.5,0.03516
8.5833,0.03973
8.6667,0.04464
8.75,0.04992
8.8333,0.05554
8.9167,0.06151
9.0,0.06783
9.0833,0.07448
9.1667,0.08147
9.25,0.08877
9.3333,0.09639
9.4167,0.1043
9.5,0.1125
9.5833,0.1209
9.6667,0.1296
9.75,0.1385
9.8333,0.1476
9.9167,0.1569
10.0,0.1663
10.0833,0.1758
10.1667,0.1856
10.25,0.1954
10.3333,0.2052
10.4167,0.215
10.5,0.2249
10.5833,0.2347
10.6667,0.2444
10.75,0.2541
10.8333,0.2637
10.9167,0.2731
11.0,0.2824
11.0833,0.2915
11.1667,0.3004
11.25,0.309
11.3333,0.3174
11.4167,0.3255
11.5,0.3333
11.5833,0.3407
11.6667,0.3478
11.75,0.3546
11.8333,0.3609
11.9167,0.3668
12.0,0.3723
12.0833,0.3774
12.1667,0.382
12.25,0.3861
12.3333,0.3898
12.4167,0.393
12.5,0.3956
12.5833,0.3978
12.6667,0.3995
12.75,0.4006
12.8333,0.4012
12.9167,0.4013
13.0,0.4009
13.0833,0.3999
13.1667,0.3984
13.25,0.3964
13.3333,0.3936
13.4167,0.391
13.5,0.3875
13.5833,0.3835
13.6667,0.3791
13.75,0.3742
13.8333,0.3688
13.9167,0.363
14.0,0.3568
14.0833,0.3502
14.1667,0.3433
14.25,0.3359
14.3333,0.3283
14.4167,0.3201
14.5,0.312
14.5833,0.3035
14.6667,0.2946
14.75,0.2855
14.8333,0.2764
14.9167,0.267
15.0,0.2575
15.0833,0.2479
15.1667,0.2381
15.25,0.2283
15.3333,0.2183
15.4167,0.2087
15.5,0.1988
15.5833,0.189
15.6667,0.1793
15.75,0.1697
15.8333,0.1602
15.9167,0.1509
16.0,0.1417
16.0833,0.1328
16.1667,0.124
16.25,0.1155
16.3333,0.1072
16.4167,0.09919
16.5,0.09148
16.5833,0.08407
16.6667,0.07697
16.75,0.0702
16.8333,0.06376
16.9167,0.05767
17.0,0.05192
17.0833,0.04653
17.1667,0.04148
17.25,0.03679
17.3333,0.03245
17.4167,0.02845
17.5,0.02478
17.5833,0.02144
17.6667,0.01842
17.75,0.01571
17.8333,0.01329
17.9167,0.01114
18.0,0.009263
18.0833,0.007627
18.1667,0.006218
18.25,0.005017
18.3333,0.004005
18.4167,0.003161
18.5,0.002466
18.5833,0.0019
18.6667,0.001442
18.75,0.001075
18.8333,0.0007827
18.9167,0.0005515
19.0,0.0003727
19.0833,0.0002323
19.1667,0.0001307
19.25,6.348e-05
19.3333,2.398e-05
19.4167,6.551e-06
19.5,6.744e-07
19.5833,2.718e-09
19.6667,1.348e-16
19.75,0.0
19.8333,0.0
19.9167,0.0
